Employee_ID,Gender_Male,Age_At_Hire,Has_Family_Responsibility,Level_Code,Classification_Code,Position_Code,Department_Code,Management_Area_Code,Education_Level_Ordinal,Position_Hierarchy_Level,Is_Gas_Station_Role,Is_Technical_Role,Is_Sales_Role,Is_Driver_Role,Base_Salary,Hourly_Rate,Salary_Growth_Percent,Salary_Level,Is_Fixed_Employee,Is_Variable_Employee,Shift_Code,Schedule_Code,Is_In_Person_Work,Is_Remote_Work,Is_Hybrid_Work,Uses_Timecard,On_Payroll,SS_Deduction,Eligible_For_Incentive,Eligible_For_Subsidy,Subject_To_Evaluation,Tenure_Days,Hire_Month,Hire_Year,Hire_Quarter,Hire_Day_Of_Week,Days_Since_Last_Raise,Non_Termination_Actions_Count,Promotion_Count,Transfer_Count,Salary_Adjustment_Count,Disciplinary_Action_Count,Absence_Count,Total_Absence_Days,Awards_Count,Salary_Deduction_Percentage,Total_Overtime_Hours,Total_Overtime_Earnings,Works_Overtime,Promotion_Rate_Per_Year,Absence_Days_Per_Year,Awards_Rate_Per_Year,Has_Supervisor,Supervisor_ID,Direct_Reports_Count,High_Absence_Flag,Career_Stagnation_Flag,Long_Time_No_Raise_Flag,Below_Market_Salary_Flag,High_Deduction_Flag,Has_Left
EMP9454,1,21,0,6,506,158,4,12,0,4,1,0,0,0,30800.00,161.5611,46.66,1004,0,1,5,1,1,0,0,0,1,0,0,0,1,1658,1,2021,1,3,808,2,0,1,1,0,0,0,0,5.66476398029819,0.00,0.00,0,0,0,0,1,8068,0,0,0,0,0,0,0
EMP11152,1,32,0,6,506,158,4,12,4,4,1,0,0,0,30800.00,161.5611,0.00,1004,0,1,6,2,1,0,0,0,1,0,0,0,1,601,11,2023,4,3,NULL,1,0,0,0,0,0,0,0,6.00217172313997,0.00,0.00,0,0,0,0,1,956,0,0,0,1,0,0,0
EMP11153,0,33,0,2,264,112,38,0,4,5,1,0,0,0,27500.00,144.2509,0.00,1,1,0,2,1,1,0,0,0,1,0,0,0,0,132,12,2023,4,4,NULL,2,0,0,0,0,0,0,0,5.45816369254714,0.00,0.00,0,0,0,0,1,8785,0,0,0,0,0,0,1
EMP11157,0,27,1,5,489,1038,140,22,4,3,0,0,0,0,45000.00,236.047,7.14,1005,1,0,2,4,1,0,0,0,1,0,0,0,1,588,12,2023,4,2,312,3,0,0,2,0,1,5,0,14.729267640806,0.00,0.00,0,0,3.10374323849536,0,1,11277,0,0,0,0,0,0,0
EMP11158,1,25,0,2,491,1045,137,0,4,0,0,0,0,0,50000.00,262.2744,0.00,1,1,0,1,4,1,0,0,0,1,0,0,0,1,599,11,2023,4,5,NULL,3,0,2,0,0,0,0,0,14.0534398753724,0.00,0.00,0,0,0,0,1,680,0,0,0,1,0,0,0
EMP11159,1,25,1,2,16,221,16,0,4,2,1,0,0,0,24150.00,126.6786,0.00,1,1,0,2,1,1,0,0,0,1,0,0,0,0,2,12,2023,4,4,NULL,1,0,0,0,0,0,0,0,3.88605456686061,0.00,0.00,0,0,0,0,1,7585,0,0,0,0,0,0,1
EMP11160,1,29,0,6,506,221,4,12,4,2,1,0,0,0,24990.00,131.0848,3.47,1000,1,0,6,2,1,0,0,0,1,0,0,0,1,593,12,2023,4,4,528,2,0,0,1,0,0,0,0,5.64608031943064,0.00,0.00,0,0,0,0,1,8068,0,0,0,0,0,0,0
EMP10364,1,33,1,2,9,73,9,0,10,1,1,0,0,1,21000.00,110.1553,0.00,1,1,0,2,1,1,0,0,0,1,0,1,0,0,24,5,2022,2,3,NULL,1,0,0,0,0,0,0,0,4.22256680903543,0.00,0.00,0,0,0,0,1,863,0,0,0,0,0,0,1
EMP10365,0,26,0,5,521,222,139,24,10,2,1,0,1,0,33075.00,173.4945,5.00,1002,1,0,3,4,1,0,0,0,1,0,0,0,1,1167,5,2022,2,4,NULL,1,0,0,0,0,0,0,1,9.62720746542636,0.00,0.00,0,0,0,0.312767807435116,1,264,0,0,1,1,0,0,0
EMP10367,0,22,0,2,115,217,26,0,10,0,0,0,1,0,22000.00,115.4008,0.00,1,1,0,2,1,1,0,0,0,1,0,0,0,0,158,5,2022,2,2,NULL,1,0,0,0,0,0,0,0,8.00195941312829,0.00,0.00,0,0,0,0,1,863,0,0,0,0,0,0,1
